BASE(0.1.116 params) A,B: (32, 48) (24, 41)
SHIP(0.1.119 params) A,B: (36, 48) (26, 41)
(61, 35, 26, (1.0, 0.86), 0.8, 0.26, 0.65, 0.25, 0.6)
(60, 34, 26, (1.0, 0.86), 0.8, 0.26, 0.65, 0.25, 0.3)
(59, 35, 24, (1.0, 0.86), 0.8, 0.26, 0.65, 0.35, 0.6)
(58, 34, 24, (1.0, 0.86), 0.8, 0.26, 0.65, 0.35, 0.3)
(59, 35, 24, (1.0, 0.86), 0.8, 0.26, 0.85, 0.25, 0.6)
(58, 34, 24, (1.0, 0.86), 0.8, 0.26, 0.85, 0.25, 0.3)
(58, 35, 23, (1.0, 0.86), 0.8, 0.26, 0.85, 0.35, 0.6)
(56, 34, 22, (1.0, 0.86), 0.8, 0.26, 0.85, 0.35, 0.3)
(59, 35, 24, (1.0, 0.86), 0.8, 0.26, 1.0, 0.25, 0.6)
(58, 34, 24, (1.0, 0.86), 0.8, 0.26, 1.0, 0.25, 0.3)
(58, 35, 23, (1.0, 0.86), 0.8, 0.26, 1.0, 0.35, 0.6)
(56, 34, 22, (1.0, 0.86), 0.8, 0.26, 1.0, 0.35, 0.3)
(59, 35, 24, (1.0, 0.86), 0.8, 0.22, 0.65, 0.25, 0.6)
(58, 34, 24, (1.0, 0.86), 0.8, 0.22, 0.65, 0.25, 0.3)
(58, 35, 23, (1.0, 0.86), 0.8, 0.22, 0.65, 0.35, 0.6)
(57, 34, 23, (1.0, 0.86), 0.8, 0.22, 0.65, 0.35, 0.3)
(60, 36, 24, (1.0, 0.86), 0.8, 0.22, 0.85, 0.25, 0.6)
(59, 35, 24, (1.0, 0.86), 0.8, 0.22, 0.85, 0.25, 0.3)
(60, 36, 24, (1.0, 0.86), 0.8, 0.22, 0.85, 0.35, 0.6)
(58, 35, 23, (1.0, 0.86), 0.8, 0.22, 0.85, 0.35, 0.3)
(58, 35, 23, (1.0, 0.86), 0.8, 0.22, 1.0, 0.25, 0.6)
(57, 34, 23, (1.0, 0.86), 0.8, 0.22, 1.0, 0.25, 0.3)
(58, 35, 23, (1.0, 0.86), 0.8, 0.22, 1.0, 0.35, 0.6)
(56, 34, 22, (1.0, 0.86), 0.8, 0.22, 1.0, 0.35, 0.3)
(60, 35, 25, (1.0, 0.86), 0.6, 0.26, 0.65, 0.25, 0.6)
(59, 34, 25, (1.0, 0.86), 0.6, 0.26, 0.65, 0.25, 0.3)
(59, 35, 24, (1.0, 0.86), 0.6, 0.26, 0.65, 0.35, 0.6)
(59, 35, 24, (1.0, 0.86), 0.6, 0.26, 0.65, 0.35, 0.3)
(61, 36, 25, (1.0, 0.86), 0.6, 0.26, 0.85, 0.25, 0.6)
(59, 35, 24, (1.0, 0.86), 0.6, 0.26, 0.85, 0.25, 0.3)
(60, 36, 24, (1.0, 0.86), 0.6, 0.26, 0.85, 0.35, 0.6)
(59, 36, 23, (1.0, 0.86), 0.6, 0.26, 0.85, 0.35, 0.3)
(60, 36, 24, (1.0, 0.86), 0.6, 0.26, 1.0, 0.25, 0.6)
(58, 35, 23, (1.0, 0.86), 0.6, 0.26, 1.0, 0.25, 0.3)
(59, 36, 23, (1.0, 0.86), 0.6, 0.26, 1.0, 0.35, 0.6)
(59, 36, 23, (1.0, 0.86), 0.6, 0.26, 1.0, 0.35, 0.3)
(59, 35, 24, (1.0, 0.86), 0.6, 0.22, 0.65, 0.25, 0.6)
(58, 34, 24, (1.0, 0.86), 0.6, 0.22, 0.65, 0.25, 0.3)
(58, 35, 23, (1.0, 0.86), 0.6, 0.22, 0.65, 0.35, 0.6)
(58, 35, 23, (1.0, 0.86), 0.6, 0.22, 0.65, 0.35, 0.3)
(61, 36, 25, (1.0, 0.86), 0.6, 0.22, 0.85, 0.25, 0.6)
(59, 35, 24, (1.0, 0.86), 0.6, 0.22, 0.85, 0.25, 0.3)
(60, 36, 24, (1.0, 0.86), 0.6, 0.22, 0.85, 0.35, 0.6)
(59, 36, 23, (1.0, 0.86), 0.6, 0.22, 0.85, 0.35, 0.3)
(60, 36, 24, (1.0, 0.86), 0.6, 0.22, 1.0, 0.25, 0.6)
(58, 35, 23, (1.0, 0.86), 0.6, 0.22, 1.0, 0.25, 0.3)
(59, 36, 23, (1.0, 0.86), 0.6, 0.22, 1.0, 0.35, 0.6)
(59, 36, 23, (1.0, 0.86), 0.6, 0.22, 1.0, 0.35, 0.3)
(61, 36, 25, (0.95, 0.85), 0.8, 0.26, 0.65, 0.25, 0.6)
(60, 36, 24, (0.95, 0.85), 0.8, 0.26, 0.65, 0.25, 0.3)
(61, 37, 24, (0.95, 0.85), 0.8, 0.26, 0.65, 0.35, 0.6)
